Observation URI,refArea,Percentage of cases out of national total ,structure,Existence of chronic diseases - Hypertension,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,dataset,Existence of chronic diseases - Diabetes 
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-+Bireh,Mount_Lebanon_Governorate,1e-02,nan,1,0, Bireh,72,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-A%27ain+El-Mir+%28El+Establ%29,South_Governorate,1e-02,nan,0,0,A'ain El-Mir (El Establ),62,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-AAridet+Cheikh+Zennad,Akkar_Governorate,0e+00,nan,1,0,AAridet Cheikh Zennad,0,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaba,North_Governorate,1e-02,nan,1,0,Aaba,125,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabadiyeh,Baabda_District,4e-02,nan,1,0,Aabadiyeh,471,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabaydat,Byblos_District,1e-02,nan,1,0,Aabaydat,120,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabba,Nabatieh_Governorate,9e-02,nan,0,0,Aabba,903,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabbesiyyi,Tyre_District,3.1e-01,nan,1,0,Aabbesiyyi,3244,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabdine,Bsharri_District,1e-02,nan,1,0,Aabdine,84,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabra+Saida,Sidon_District,2e-01,nan,1,0,Aabra Saida,2156,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabrine,Batroun_District,2e-02,nan,1,0,Aabrine,239,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aachach,Zgharta_District,2e-02,nan,1,0,Aachach,166,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aachqout,Keserwan_District,1.1e-01,nan,0,0,Aachqout,1155,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadaysseh+Marjaayoun,Marjeyoun_District,4e-02,nan,1,0,Aadaysseh Marjaayoun,413,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadchit+Ech-Chqif,Nabatieh_Governorate,0e+00,nan,0,0,Aadchit Ech-Chqif,6,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadchit+El-Qoussair,Marjeyoun_District,0e+00,nan,1,0,Aadchit El-Qoussair,22,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadloun,Sidon_District,1.1e-01,nan,0,0,Aadloun,1176,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadoussiyeh,Sidon_District,1e-02,nan,1,0,Aadoussiyeh,114,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aafsdiq,North_Governorate,2e-02,nan,0,1,Aafsdiq,175,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aanoub,Aley_District,4e-02,nan,1,0,Aain Aanoub,394,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aarab+Rachaya,Beqaa_Governorate,0e+00,nan,1,0,Aain Aarab Rachaya,25,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aata,Beqaa_Governorate,1e-02,nan,1,0,Aain Aata,157,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Dara,Aley_District,3e-02,nan,0,0,Aain Dara,283,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Drafil,Aley_District,1e-02,nan,1,0,Aain Drafil,122,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ed-Delb,Sidon_District,5e-02,nan,1,0,Aain Ed-Delb,522,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ed-Delbe,Byblos_District,0e+00,nan,0,1,Aain Ed-Delbe,8,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ej-Jdideh+Aaley,Aley_District,1e-02,nan,1,0,Aain Ej-Jdideh Aaley,60,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El+Saydeh,Aley_District,0e+00,nan,0,1,Aain El Saydeh,2,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Ghouaybeh,Byblos_District,0e+00,nan,1,0,Aain El-Ghouaybeh,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Kharroubeh,Matn_District,3e-02,nan,1,0,Aain El-Kharroubeh,298,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Qabu,Matn_District,0e+00,nan,1,0,Aain El-Qabu,6,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Er-Rihane,Keserwan_District,5e-02,nan,0,0,Aain Er-Rihane,530,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Er-Roummaneh+Aaley,Aley_District,0e+00,nan,1,0,Aain Er-Roummaneh Aaley,35,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Es-Sindiane,Matn_District,2e-02,nan,1,0,Aain Es-Sindiane,228,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Et-Teffaha,Matn_District,0e+00,nan,1,0,Aain Et-Teffaha,12,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Et-Tineh-Miniyeh,MiniyehâDanniyeh_District,0e+00,nan,1,0,Aain Et-Tineh-Miniyeh,27,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ez-Zeit,Akkar_Governorate,0e+00,nan,1,0,Aain Ez-Zeit,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ez-Zeitouneh,Matn_District,0e+00,nan,1,0,Aain Ez-Zeitouneh,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Fraidis,Aley_District,0e+00,nan,1,0,Aain Fraidis,0,1,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Harsha,Beqaa_Governorate,0e+00,nan,1,0,Aain Harsha,16,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ibl,Bint_Jbeil_District,4e-02,nan,1,0,Aain Ibl,448,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Jarfa,Hasbaya_District,1e-02,nan,1,0,Aain Jarfa,63,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Jrain,Byblos_District,0e+00,nan,1,0,Aain Jrain,2,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Kfaa,Byblos_District,0e+00,nan,1,0,Aain Kfaa,5,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Kfar+Zabad,ZahlÃ©_District,4e-02,nan,1,0,Aain Kfar Zabad,473,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ksour,Aley_District,1e-02,nan,1,0,Aain Ksour,78,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Mouaffaq,Baabda_District,0e+00,nan,1,0,Aain Mouaffaq,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ouzain,Mount_Lebanon_Governorate,4e-02,nan,1,0,Aain Ouzain,444,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qana,Nabatieh_Governorate,4e-02,nan,0,0,Aain Qana,459,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qania,Mount_Lebanon_Governorate,1e-02,nan,1,0,Aain Qania,83,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qinia,Hasbaya_District,1e-02,nan,1,0,Aain Qinia,151,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Saadeh,Matn_District,4e-01,nan,0,0,Aain Saadeh,4240,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Tinta,Akkar_Governorate,0e+00,nan,1,0,Aain Tinta,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Traz,Aley_District,0e+00,nan,1,0,Aain Traz,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Yaaqoub,Akkar_Governorate,1e-02,nan,1,0,Aain Yaaqoub,131,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Zebdeh,Western_Beqaa_District,1e-02,nan,1,0,Aain Zebdeh,75,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Zhalta,Mount_Lebanon_Governorate,2e-02,nan,1,0,Aain Zhalta,193,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+challal,Byblos_District,0e+00,nan,0,1,Aain challal,0,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aainbal,Mount_Lebanon_Governorate,1e-02,nan,0,0,Aainbal,74,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaita+Ej-Jabal,Bint_Jbeil_District,0e+00,nan,1,0,Aaita Ej-Jabal,2,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaiyat,Akkar_Governorate,2e-02,nan,1,0,Aaiyat,223,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aajaltoun,Keserwan_District,7e-02,nan,0,0,Aajaltoun,692,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aakkar+El-Aatiqa,Akkar_Governorate,1.1e-01,nan,1,0,Aakkar El-Aatiqa,1197,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaley,Aley_District,4.1e-01,nan,1,0,Aaley,4298,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaley+Bsatine,Aley_District,0e+00,nan,1,0,Aaley Bsatine,8,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aali+En-Nahri,ZahlÃ©_District,1.4e-01,nan,0,1,Aali En-Nahri,1455,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalma,Zgharta_District,3e-02,nan,1,0,Aalma,313,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalma+Ech-Chaab,Tyre_District,2e-02,nan,1,0,Aalma Ech-Chaab,221,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalman,Marjeyoun_District,0e+00,nan,1,0,Aalman,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalmane+Ech-Chouf,Mount_Lebanon_Governorate,3e-02,nan,1,0,Aalmane Ech-Chouf,275,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamaret+El-Baykat,Akkar_Governorate,0e+00,nan,1,0,Aamaret El-Baykat,2,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamayer,Akkar_Governorate,0e+00,nan,1,0,Aamayer,0,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamchit,Byblos_District,3.4e-01,nan,1,0,Aamchit,3559,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aammatour,Mount_Lebanon_Governorate,2e-02,nan,1,0,Aammatour,215,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aammiq+Ech-Chouf,Western_Beqaa_District,1e-02,nan,1,0,Aammiq Ech-Chouf,63,1,Health_Status-Lebanon-2023,1
